pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
52,9,0.1,68.34962,60.20945,0.21,0.14,8.14017,0.07
53,9,0.1,68.95444,53.39226,0.23,0.11,15.56218,0.12
54,9,0.1,64.12883,57.55034,0.21,0.12,6.57849,0.09
55,9,0.1,68.95733,55.840744,0.37,0.11,13.116586,0.26
56,9,0.1,63.52088,57.950443,0.2,0.11,5.570437,0.09
57,9,0.1,62.072166,57.934643,0.21,0.12,4.137523,0.09
58,9,0.1,56.131424,56.471508,0.22,0.13,-0.340084,0.09
59,9,0.1,55.457714,54.61213,0.29,0.13,0.845584,0.16
60,9,0.1,55.816174,57.033535,0.25,0.12,-1.217361,0.13
61,9,0.1,59.271385,53.55515,0.24,0.12,5.716235,0.12
62,9,0.1,60.10538,52.515526,0.26,0.11,7.589854,0.15
63,9,0.1,62.14321,46.036156,0.24,0.11,16.107054,0.13
64,9,0.1,63.408028,51.53128,0.24,0.11,11.876748,0.13
