,db(lab),db(audi),duration(lab),duration(audi),,
378,79.50505066,83.1696701,1,0.93,0.07,-3.664619446
379,79.23439026,83.08747864,1,1,0,-3.853088379
380,79.31128693,82.71669006,0.84,0.75,0.09,-3.405403137
381,79.48806763,83.14479828,0.91,0.77,0.14,-3.656730652
382,79.67429352,83.30084229,1,0.93,0.07,-3.626548767
383,79.64560699,83.31213379,1,1,0,-3.666526794
384,63.90211105,67.80551147,0.24,0.24,0,-3.903400421
385,57.89636612,60.11078262,0.11,0.15,-0.04,-2.214416504
386,56.58549118,60.4733429,0.14,0.39,-0.25,-3.887851715
387,56.36002731,60.84740448,0.14,0.42,-0.28,-4.487377167
388,54.50348663,63.86096954,0.11,0.18,-0.07,-9.35748291
389,57.55900192,60.21567535,0.14,0.14,0,-2.656673431
390,57.15874863,60.34926987,0.12,0.15,-0.03,-3.19052124
391,56.0840416,60.4961853,0.12,0.37,-0.25,-4.412143707
392,58.9748764,64.53552246,0.11,0.21,-0.1,-5.560646057
393,59.47729492,62.57899857,0.19,0.26,-0.07,-3.101703644
394,59.83871841,63.54048538,0.37,0.39,-0.02,-3.701766968
395,61.98574829,63.45384979,0.14,0.78,-0.64,-1.468101501
396,63.02413177,66.7596283,0.17,0.22,-0.05,-3.735496521
397,62.65402222,67.26286316,0.25,0.28,-0.03,-4.608840942
398,63.07704926,67.24112701,0.42,0.45,-0.03,-4.164077759
399,66.54034424,67.14945221,0.74,0.81,-0.07,-0.609107971
400,66.27030182,69.35542297,0.29,0.24,0.05,-3.085121155
401,65.94117737,69.42430878,0.27,0.33,-0.06,-3.483131409
402,66.86358643,69.18628693,0.49,0.47,0.02,-2.3227005
403,68.52688599,69.30429077,0.81,0.87,-0.06,-0.777404785
404,68.94485474,71.25482941,0.35,0.27,0.08,-2.30997467
405,68.62779999,71.88201904,0.4,0.37,0.03,-3.254219055
406,68.45652008,72.06938171,0.51,0.53,-0.02,-3.612861633
407,71.3079834,72.0349884,0.86,0.9,-0.04,-0.727005005
408,71.74232483,73.83099365,0.43,0.35,0.08,-2.088668823
409,72.04125977,72.41703796,0.46,0.43,0.03,-0.375778198
410,72.34907532,74.86763763,0.61,0.58,0.03,-2.518562317
411,72.438797,73.80226135,1,0.93,0.07,-1.363464355
412,72.46546173,75.30632019,0.43,0.41,0.02,-2.840858459
413,73.81077576,73.70019531,0.48,0.51,-0.03,0.110580444
414,72.61220551,75.91446686,0.63,0.66,-0.03,-3.302261353
415,76.61273193,76.15604401,1,1,0,0.456687927
416,77.21360016,74.77043152,0.58,0.53,0.05,2.44316864
417,76.55556488,76.43835449,0.69,0.55,0.14,0.117210388
418,76.9280777,77.96153259,0.82,0.68,0.14,-1.033454895
419,76.1020813,78.15906525,1,1,0,-2.056983948
420,76.18961334,77.31490326,0.68,0.58,0.1,-1.125289917
421,75.83087921,79.08662415,0.72,0.62,0.1,-3.255744934
422,76.55143738,80.35844421,0.85,0.76,0.09,-3.807006836
423,78.5022583,80.79417419,1,1,0,-2.291915894
424,78.14746857,79.97455597,0.82,0.66,0.16,-1.827087402
425,78.58256531,81.05766296,0.86,0.68,0.18,-2.475097656
426,78.69231415,82.40216827,0.93,0.82,0.11,-3.709854126
427,80.84777832,82.40083313,1,1,0,-1.55305481
428,80.50653839,82.99990082,1,0.68,0.32,-2.493362427
429,80.69673157,82.49308014,1,0.77,0.23,-1.796348572
430,80.79990387,83.47906494,1,0.89,0.11,-2.679161072
431,81.69933319,83.67728424,1,1,0,-1.97795105
432,80.49648285,84.22063446,1,0.77,0.23,-3.724151611
433,80.66281128,84.80495453,1,0.81,0.19,-4.14214325
